Times,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C_02B,Madiwela,C_01A,C_23,C_22,C_21,C_24,C_09D2,C_26,C_25,C_30,C_29,C_27A,C_28,C_06,C_07,C_04,C_03,C_05,C_20,C_17,C_19,C_10,C_18,C_16,C_14,C_13,C_15,C_08,C_11,C_31,C_32,C_33,C_12,C_01C,C_01B,C_01D,C_02A,C_09A,C_09B,C_09C,C_09D,C_19A,C_25A,C_25B,C_27B,C_28A,C_29C,C_02D,C_02C,C_02E
2019-05-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-20 01:00:00,0.1961,0.1961,0.1961,0.1961,0.1961,0.1961,0,0.1961,0,0,0,0,0.1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109433,0.006081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006081,0,0,0.456163,0.421997,0.421997,0.421997,0.207538,0.198839,0.198839,0.1961,0.1961,0.198839,0.1961,0.109433,0.109433,0.006081,0.104382,0.207538,0.421997,0.109433,0.421997,0.109433,0.198839,0.198839,0.109433,0.198839,0.198839,0.109433,0.109433,0.1961,0.1961,0.1961,0.109433,0.060548,0.060548,0.060548,0,0.207538,0.207538,0.207538,0.421997,0.421997,0.421997,0.421997,0.198839,0.1961,0.1961,0,0,0
2019-05-20 02:00:00,0.394185,0.394185,0.394185,0.394185,0.394185,0.394185,0.007217,0.394185,0.007217,0.007217,0.007217,0.007217,0.394185,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.007217,0.883236,0.665773,0.007217,0.007217,0.007217,0.007217,0.007217,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.167825,0.665773,0.318275,0.011732,2.29329,1.10814,1.10814,1.10814,1.05274,0.229172,0.229172,0.394185,0.394185,0.229172,0.394185,0.883236,0.883236,0.665773,0.426771,1.05274,1.10814,0.883236,1.10814,0.883236,0.229172,0.229172,0.883236,0.229172,0.229172,0.883236,0.883236,0.394185,0.394185,0.394185,0.883236,0.114921,0.114921,0.114921,0.00313,1.05274,1.05274,1.05274,1.10814,1.10814,1.10814,1.10814,0.229172,0.394185,0.394185,0.00313,0.00313,0.00313
2019-05-20 03:00:00,0.201028,0.201028,0.201028,0.201028,0.201028,0.201028,0.035244,0.201028,0.035244,0.035244,0.035244,0.035244,0.201028,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,0.035244,1.18863,0.671596,0.035244,0.035244,0.035244,0.035244,0.035244,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.46392,0.671596,0.318304,0.295276,2.98559,1.18832,1.18832,1.18832,1.12761,0.054601,0.054601,0.201028,0.201028,0.054601,0.201028,1.18863,1.18863,0.671596,0.323304,1.12761,1.18832,1.18863,1.18832,1.18863,0.054601,0.054601,1.18863,0.054601,0.054601,1.18863,1.18863,0.201028,0.201028,0.201028,1.18863,0.055098,0.055098,0.055098,0.003142,1.12761,1.12761,1.12761,1.18832,1.18832,1.18832,1.18832,0.054601,0.201028,0.201028,0.003142,0.003142,0.003142
2019-05-20 04:00:00,0.002969,0.002969,0.002969,0.002969,0.002969,0.002969,0.028039,0.002969,0.028039,0.028039,0.028039,0.028039,0.002969,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.028039,0.41489,0.011944,0.028039,0.028039,0.028039,0.028039,0.028039,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.296094,0.011944,2.9e-05,0.283557,1.16178,0.503751,0.503751,0.503751,0.284502,0.024327,0.024327,0.002969,0.002969,0.024327,0.002969,0.41489,0.41489,0.011944,0.001273,0.284502,0.503751,0.41489,0.503751,0.41489,0.024327,0.024327,0.41489,0.024327,0.024327,0.41489,0.41489,0.002969,0.002969,0.002969,0.41489,0.000959,0.000959,0.000959,1.2e-05,0.284502,0.284502,0.284502,0.503751,0.503751,0.503751,0.503751,0.024327,0.002969,0.002969,1.2e-05,1.2e-05,1.2e-05
2019-05-20 05:00:00,0.017781,0.017781,0.017781,0.017781,0.017781,0.017781,0.089069,0.017781,0.089069,0.089069,0.089069,0.089069,0.017781,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.178309,0.359111,0.089069,0.089069,0.089069,0.089069,0.089069,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.098694,0.359111,0.013791,0.003936,0.312439,0.253073,0.253073,0.253073,0.55244,0.092352,0.092352,0.017781,0.017781,0.092352,0.017781,0.178309,0.178309,0.359111,0.109185,0.55244,0.253073,0.178309,0.253073,0.178309,0.092352,0.092352,0.178309,0.092352,0.092352,0.178309,0.178309,0.017781,0.017781,0.017781,0.178309,0.52258,0.52258,0.52258,0.155533,0.55244,0.55244,0.55244,0.253073,0.253073,0.253073,0.253073,0.092352,0.017781,0.017781,0.155533,0.155533,0.155533
2019-05-20 06:00:00,0.215889,0.215889,0.215889,0.215889,0.215889,0.215889,0.302966,0.215889,0.302966,0.302966,0.302966,0.302966,0.215889,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.302966,0.183561,0.455687,0.302966,0.302966,0.302966,0.302966,0.302966,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.131001,0.455687,0.523425,0.196289,0.39535,0.254071,0.254071,0.254071,0.561429,0.092762,0.092762,0.215889,0.215889,0.092762,0.215889,0.183561,0.183561,0.455687,0.249127,0.561429,0.254071,0.183561,0.254071,0.183561,0.092762,0.092762,0.183561,0.092762,0.092762,0.183561,0.183561,0.215889,0.215889,0.215889,0.183561,0.552062,0.552062,0.552062,0.516467,0.561429,0.561429,0.561429,0.254071,0.254071,0.254071,0.254071,0.092762,0.215889,0.215889,0.516467,0.516467,0.516467
2019-05-20 07:00:00,0.198135,0.198135,0.198135,0.198135,0.198135,0.198135,0.213908,0.198135,0.213908,0.213908,0.213908,0.213908,0.198135,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.213908,0.005313,0.096621,0.213908,0.213908,0.213908,0.213908,0.213908,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.032307,0.096621,0.509635,0.269681,0.135399,0.002589,0.002589,0.002589,0.011089,0.00047,0.00047,0.198135,0.198135,0.00047,0.198135,0.005313,0.005313,0.096621,0.140957,0.011089,0.002589,0.005313,0.002589,0.005313,0.00047,0.00047,0.005313,0.00047,0.00047,0.005313,0.005313,0.198135,0.198135,0.198135,0.005313,0.031177,0.031177,0.031177,0.361091,0.011089,0.011089,0.011089,0.002589,0.002589,0.002589,0.002589,0.00047,0.198135,0.198135,0.361091,0.361091,0.361091
2019-05-20 08:00:00,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,0.000243,3e-06,0.000243,0.000243,0.000243,0.000243,3e-06,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.003965,0.006478,0.000243,0.000243,0.000243,0.000243,0.000243,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.006478,0.000625,0.077316,0.046468,0.111866,0.111866,0.111866,0.007436,1e-05,1e-05,3e-06,3e-06,1e-05,3e-06,0.003965,0.003965,0.006478,0.001819,0.007436,0.111866,0.003965,0.111866,0.003965,1e-05,1e-05,0.003965,1e-05,1e-05,0.003965,0.003965,3e-06,3e-06,3e-06,0.003965,0.00146,0.00146,0.00146,0.000157,0.007436,0.007436,0.007436,0.111866,0.111866,0.111866,0.111866,1e-05,3e-06,3e-06,0.000157,0.000157,0.000157
2019-05-20 09:00:00,0,0,0,0,0,0,0.000243,0,0.000243,0.000243,0.000243,0.000243,0,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.000243,0.004026,0.011089,0.000243,0.000243,0.000243,0.000243,0.000243,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.00178,0.011089,0.001023,0.159323,0.008626,0.11201,0.11201,0.11201,0.009923,1.1e-05,1.1e-05,0,0,1.1e-05,0,0.004026,0.004026,0.011089,0.026942,0.009923,0.11201,0.004026,0.11201,0.004026,1.1e-05,1.1e-05,0.004026,1.1e-05,1.1e-05,0.004026,0.004026,0,0,0,0.004026,0.108697,0.108697,0.108697,0.003892,0.009923,0.009923,0.009923,0.11201,0.11201,0.11201,0.11201,1.1e-05,0,0,0.003892,0.003892,0.003892
