time,value
2019-06-01 01:00:00,0.450
2019-06-01 07:00:00,0.090
2019-06-01 14:00:00,0.650
2019-06-01 20:00:00,0.130
2019-06-02 02:00:00,0.470
2019-06-02 07:00:00,0.060
2019-06-02 14:00:00,0.700
2019-06-02 20:00:00,0.100
2019-06-03 02:00:00,0.480
2019-06-03 08:00:00,0.020
2019-06-03 15:00:00,0.720
2019-06-03 21:00:00,0.070
2019-06-04 03:00:00,0.480
2019-06-04 08:00:00,0.000
2019-06-04 15:00:00,0.730
2019-06-04 21:00:00,0.060
2019-06-05 03:00:00,0.480
2019-06-05 09:00:00,0.000
2019-06-05 16:00:00,0.720
2019-06-05 22:00:00,0.060
2019-06-06 04:00:00,0.470
2019-06-06 09:00:00,0.020
2019-06-06 16:00:00,0.690
2019-06-06 22:00:00,0.060
2019-06-07 04:00:00,0.460
2019-06-07 10:00:00,0.050
2019-06-07 17:00:00,0.640
2019-06-07 23:00:00,0.080
2019-06-08 05:00:00,0.440
2019-06-08 11:00:00,0.110
2019-06-08 17:00:00,0.590
2019-06-09 00:00:00,0.100
2019-06-09 06:00:00,0.420
2019-06-09 12:00:00,0.180
2019-06-09 18:00:00,0.520
2019-06-10 01:00:00,0.130
2019-06-10 07:00:00,0.410
2019-06-10 13:00:00,0.250
2019-06-10 19:00:00,0.460
2019-06-11 02:00:00,0.140
2019-06-11 09:00:00,0.430
2019-06-11 15:00:00,0.290
2019-06-11 20:00:00,0.400
2019-06-12 03:00:00,0.130
2019-06-12 11:00:00,0.470
2019-06-12 17:00:00,0.270
2019-06-12 22:00:00,0.370
2019-06-13 05:00:00,0.110
2019-06-13 12:00:00,0.530
2019-06-13 18:00:00,0.220
2019-06-13 23:00:00,0.380
2019-06-14 06:00:00,0.080
2019-06-14 13:00:00,0.580
2019-06-14 19:00:00,0.170
2019-06-15 00:00:00,0.400
2019-06-15 06:00:00,0.050
2019-06-15 13:00:00,0.630
2019-06-15 20:00:00,0.130
2019-06-16 01:00:00,0.420
2019-06-16 07:00:00,0.030
2019-06-16 14:00:00,0.660
2019-06-16 20:00:00,0.090
2019-06-17 02:00:00,0.440
2019-06-17 08:00:00,0.020
2019-06-17 14:00:00,0.670
2019-06-17 21:00:00,0.070
2019-06-18 02:00:00,0.460
2019-06-18 08:00:00,0.020
2019-06-18 15:00:00,0.680
2019-06-18 21:00:00,0.060
2019-06-19 03:00:00,0.470
2019-06-19 09:00:00,0.040
2019-06-19 15:00:00,0.680
2019-06-19 22:00:00,0.060
2019-06-20 04:00:00,0.460
2019-06-20 09:00:00,0.060
2019-06-20 16:00:00,0.660
2019-06-20 22:00:00,0.060
2019-06-21 04:00:00,0.460
2019-06-21 10:00:00,0.080
2019-06-21 16:00:00,0.630
2019-06-21 23:00:00,0.070
2019-06-22 05:00:00,0.440
2019-06-22 10:00:00,0.120
2019-06-22 17:00:00,0.580
2019-06-22 23:00:00,0.090
2019-06-23 06:00:00,0.420
2019-06-23 11:00:00,0.160
2019-06-23 18:00:00,0.530
2019-06-24 00:00:00,0.110
2019-06-24 07:00:00,0.400
2019-06-24 11:00:00,0.200
2019-06-24 18:00:00,0.480
2019-06-25 00:00:00,0.130
2019-06-25 08:00:00,0.390
2019-06-25 12:00:00,0.250
2019-06-25 19:00:00,0.420
2019-06-26 01:00:00,0.140
2019-06-26 09:00:00,0.400
2019-06-26 14:00:00,0.290
2019-06-26 20:00:00,0.370
2019-06-27 02:00:00,0.150
2019-06-27 10:00:00,0.440
2019-06-27 17:00:00,0.280
2019-06-27 22:00:00,0.340
2019-06-28 04:00:00,0.150
2019-06-28 12:00:00,0.490
2019-06-28 19:00:00,0.240
2019-06-28 23:00:00,0.340
2019-06-29 05:00:00,0.120
2019-06-29 12:00:00,0.550
2019-06-29 19:00:00,0.190
