wrf_point,latitude,longitude
wrf0_point1,6.751541,79.820976
wrf0_point2,6.751541,79.848206
wrf0_point3,6.751541,79.875435
wrf0_point4,6.751541,79.902664
wrf0_point5,6.751541,79.929893
wrf0_point6,6.751541,79.957123
wrf0_point7,6.751541,79.984352
wrf0_point8,6.751541,80.011581
wrf0_point9,6.751541,80.038811
wrf0_point10,6.751541,80.066040
wrf0_point11,6.751541,80.093269
wrf0_point12,6.751541,80.120499
wrf0_point13,6.751541,80.147728
wrf0_point14,6.778587,79.820976
wrf0_point15,6.778587,79.848206
wrf0_point16,6.778587,79.875435
wrf0_point17,6.778587,79.902664
wrf0_point18,6.778587,79.929893
wrf0_point19,6.778587,79.957123
wrf0_point20,6.778587,79.984352
wrf0_point21,6.778587,80.011581
wrf0_point22,6.778587,80.038811
wrf0_point23,6.778587,80.066040
wrf0_point24,6.778587,80.093269
wrf0_point25,6.778587,80.120499
wrf0_point26,6.778587,80.147728
wrf0_point27,6.805618,79.820976
wrf0_point28,6.805618,79.848206
wrf0_point29,6.805618,79.875435
wrf0_point30,6.805618,79.902664
wrf0_point31,6.805618,79.929893
wrf0_point32,6.805618,79.957123
wrf0_point33,6.805618,79.984352
wrf0_point34,6.805618,80.011581
wrf0_point35,6.805618,80.038811
wrf0_point36,6.805618,80.066040
wrf0_point37,6.805618,80.093269
wrf0_point38,6.805618,80.120499
wrf0_point39,6.805618,80.147728
wrf0_point40,6.832657,79.820976
wrf0_point41,6.832657,79.848206
wrf0_point42,6.832657,79.875435
wrf0_point43,6.832657,79.902664
wrf0_point44,6.832657,79.929893
wrf0_point45,6.832657,79.957123
wrf0_point46,6.832657,79.984352
wrf0_point47,6.832657,80.011581
wrf0_point48,6.832657,80.038811
wrf0_point49,6.832657,80.066040
wrf0_point50,6.832657,80.093269
wrf0_point51,6.832657,80.120499
wrf0_point52,6.832657,80.147728
wrf0_point53,6.859688,79.820976
wrf0_point54,6.859688,79.848206
wrf0_point55,6.859688,79.875435
wrf0_point56,6.859688,79.902664
wrf0_point57,6.859688,79.929893
wrf0_point58,6.859688,79.957123
wrf0_point59,6.859688,79.984352
wrf0_point60,6.859688,80.011581
wrf0_point61,6.859688,80.038811
wrf0_point62,6.859688,80.066040
wrf0_point63,6.859688,80.093269
wrf0_point64,6.859688,80.120499
wrf0_point65,6.859688,80.147728
wrf0_point66,6.886719,79.820976
wrf0_point67,6.886719,79.848206
wrf0_point68,6.886719,79.875435
wrf0_point69,6.886719,79.902664
wrf0_point70,6.886719,79.929893
wrf0_point71,6.886719,79.957123
wrf0_point72,6.886719,79.984352
wrf0_point73,6.886719,80.011581
wrf0_point74,6.886719,80.038811
wrf0_point75,6.886719,80.066040
wrf0_point76,6.886719,80.093269
wrf0_point77,6.886719,80.120499
wrf0_point78,6.886719,80.147728
wrf0_point79,6.913757,79.820976
wrf0_point80,6.913757,79.848206
wrf0_point81,6.913757,79.875435
wrf0_point82,6.913757,79.902664
wrf0_point83,6.913757,79.929893
wrf0_point84,6.913757,79.957123
wrf0_point85,6.913757,79.984352
wrf0_point86,6.913757,80.011581
wrf0_point87,6.913757,80.038811
wrf0_point88,6.913757,80.066040
wrf0_point89,6.913757,80.093269
wrf0_point90,6.913757,80.120499
wrf0_point91,6.913757,80.147728
wrf0_point92,6.940788,79.820976
wrf0_point93,6.940788,79.848206
wrf0_point94,6.940788,79.875435
wrf0_point95,6.940788,79.902664
wrf0_point96,6.940788,79.929893
wrf0_point97,6.940788,79.957123
wrf0_point98,6.940788,79.984352
wrf0_point99,6.940788,80.011581
wrf0_point100,6.940788,80.038811
wrf0_point101,6.940788,80.066040
wrf0_point102,6.940788,80.093269
wrf0_point103,6.940788,80.120499
wrf0_point104,6.940788,80.147728
wrf0_point105,6.967812,79.820976
wrf0_point106,6.967812,79.848206
wrf0_point107,6.967812,79.875435
wrf0_point108,6.967812,79.902664
wrf0_point109,6.967812,79.929893
wrf0_point110,6.967812,79.957123
wrf0_point111,6.967812,79.984352
wrf0_point112,6.967812,80.011581
wrf0_point113,6.967812,80.038811
wrf0_point114,6.967812,80.066040
wrf0_point115,6.967812,80.093269
wrf0_point116,6.967812,80.120499
wrf0_point117,6.967812,80.147728
wrf0_point118,6.994843,79.820976
wrf0_point119,6.994843,79.848206
wrf0_point120,6.994843,79.875435
wrf0_point121,6.994843,79.902664
wrf0_point122,6.994843,79.929893
wrf0_point123,6.994843,79.957123
wrf0_point124,6.994843,79.984352
wrf0_point125,6.994843,80.011581
wrf0_point126,6.994843,80.038811
wrf0_point127,6.994843,80.066040
wrf0_point128,6.994843,80.093269
wrf0_point129,6.994843,80.120499
wrf0_point130,6.994843,80.147728
wrf0_point131,7.021873,79.820976
wrf0_point132,7.021873,79.848206
wrf0_point133,7.021873,79.875435
wrf0_point134,7.021873,79.902664
wrf0_point135,7.021873,79.929893
wrf0_point136,7.021873,79.957123
wrf0_point137,7.021873,79.984352
wrf0_point138,7.021873,80.011581
wrf0_point139,7.021873,80.038811
wrf0_point140,7.021873,80.066040
wrf0_point141,7.021873,80.093269
wrf0_point142,7.021873,80.120499
wrf0_point143,7.021873,80.147728
